Variable Name,Population,Electrification,Transport (Rail),Agricultural Production,Patents,# Coal or Metal Miners,Total Corporations,% Agriculture Corps,% Manufacturing Corps,GDP Per Capita,,
Units,(In thousands of People),(Thousands of Kilowatts),(Operational Kilometers),(Harvested tons of Food),(Total Cases Registered),(# of Primary Miners),(# of registered corps.),(% Corps that are agri.),(% Corpos that manu),(in millions 2011 $USD),,
Source URL,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/02.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/10.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/12.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/07.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/17.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/08.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/06.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/06.html,https://warp.da.ndl.go.jp/info:ndljp/pid/11423429/www.stat.go.jp/english/data/chouki/06.html,https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018?lang=en,x,x
Year,,,,,,,,,,,,
1872,"34,806",...,29,...,...,...,...,...,...,996,,
1873,"34,985",...,29,...,...,...,...,...,...,1003,,
1874,"35,154",...,62,...,...,...,...,...,...,1010,,
1875,"35,316",...,62,...,...,...,...,...,...,1082,,
1876,"35,555",...,105,...,...,...,...,...,...,1048,,
1877,"35,870",...,105,...,...,...,...,...,...,1072,,
1878,"36,166",...,105,"3,792,000",...,...,...,...,...,1060,,
1879,"36,464",...,118,"4,753,000",...,...,...,...,...,1116,,
1880,"36,649",...,158,"4,715,000",...,...,...,...,...,1153,,
1881,"36,965",...,197,"4,487,000",...,...,...,...,...,1108,,
1882,"37,259",...,275,"4,560,000",...,...,...,...,...,1127,,
1883,"37,569",...,292,"4,587,000",...,...,...,...,...,1118,,
1884,"37,962",...,292,"4,070,000",...,...,...,...,...,1116,,
1885,"38,313",...,360,"5,106,000","1,048",...,...,...,...,1149,,
1886,"38,541",...,426,"5,583,000",713,...,...,...,...,1224,,
1887,"38,703",...,484,"6,004,000",470,...,...,...,...,1271,,
1888,"39,029",...,814,"5,803,000",619,...,...,...,...,1201,,
1889,"39,473",...,984,"4,957,000",895,...,...,...,...,1246,,
1890,"39,902",...,984,"6,463,000",905,...,...,...,...,1351,,
1891,"40,251",...,984,"5,727,000","1,038",...,...,...,...,1277,,
1892,"40,508",...,984,"6,214,000","1,015",...,...,...,...,1352,,
1893,"40,860",...,995,"5,590,000","1,025","83,819",...,...,...,1347,,
1894,"41,142",...,"1,029","6,279,000","1,267","98,579",...,...,...,1495,,
1895,"41,557",...,"1,049","5,994,000","1,245","114,459",...,...,...,1500,,
1896,"41,992",...,"1,114","5,436,000","1,123","113,357",...,...,...,1404,,
1897,"42,400",...,"1,163","4,956,000","2,583","154,517",...,...,...,1418,,
1898,"42,886",...,"1,415","7,108,000","1,942","127,537",...,...,...,1668,,
1899,"43,404",...,"1,438","5,955,000","2,378","112,105",...,...,...,1527,,
1900,"43,847",...,"1,626","6,220,000","2,483","125,313",...,...,...,1575,,
1901,"44,359",...,"1,803","7,037,000","2,367","139,210",...,...,...,1611,,
1902,"44,964",...,"2,072","5,540,000","3,139","139,233",...,...,...,1508,,
1903,"45,546",44,"2,262","6,971,000","3,800","149,800","10,768",1.26%,23.93%,1593,,
1904,"46,135",59,"2,449","7,715,000","3,738","157,463","10,694",1.37%,23.93%,1587,,
1905,"46,620",74,"2,562","5,726,000","5,496","148,366","10,620",1.44%,24.16%,1545,,
1906,"47,038",91,"4,978","6,945,000","9,035","180,340","10,715",1.36%,24.31%,1732,,
1907,"47,416",115,"7,153","7,358,000","9,482","205,493","11,466",1.41%,24.80%,1770,,
1908,"47,965",155,"7,311","7,790,000","10,040","196,432","12,899",1.54%,25.16%,1761,,
1909,"48,554",182,"7,442","7,866,000","10,372","226,620","13,862",1.44%,25.91%,1737,,
1910,"49,184",258,"7,838","6,995,000","10,766","212,203","14,926",1.27%,25.37%,1741,,
1911,"49,852",322,"8,118","7,757,000","13,214","218,026","16,340",1.27%,25.52%,1810,,
1912,"50,577",462,"8,396","7,533,000","12,237","226,123","17,820",1.42%,26.89%,1848,,
1913,"51,305",597,"8,807","7,539,000","13,465","251,925","19,588",1.44%,26.80%,1852,,
1914,"52,039",716,"9,156","8,551,000","15,016","259,851","20,969",1.45%,26.45%,1772,,
1915,"52,752",772,"9,268","8,389,000","14,557","279,501","22,204",1.42%,26.82%,1909,,
1916,"53,496",805,"9,429","8,768,000","13,804","337,182","23,696",1.42%,27.66%,2177,,
1917,"54,134",876,"9,659","8,185,000","11,944","415,295","25,981",1.59%,29.15%,2224,,
1918,"54,739",984,"9,781","8,205,000","14,550","448,119","30,601",1.61%,31.33%,2228,,
1919,"55,033","1,133","9,991","9,123,000","18,584","449,040","37,424",1.64%,32.08%,2440,,
1920,"55,473","1,378","10,436","9,481,000","20,553","421,715","42,488",1.73%,33.09%,2265,,
1921,"55,963","1,527","10,821","8,277,000","28,032","313,037","45,190",1.64%,31.94%,2483,,
1922,"56,666","1,779","11,275","9,104,000","18,700","289,102","41,215",1.73%,33.17%,2446,,
1923,"57,390","2,063","11,805","8,317,000","13,202","320,742","44,183",1.76%,30.58%,2416,,
1924,"58,119","2,237","12,148","8,576,000","12,357","293,430","43,702",1.78%,29.80%,2452,,
1925,"58,876","2,768","12,593","8,956,000","32,505","297,759","45,275",1.87%,28.63%,2518,,
1926,"59,737","3,203","12,864","8,339,000","27,505","281,967","46,813",1.84%,28.19%,2500,,
1927,"60,741","3,467","13,394","9,315,000","27,687","284,823","49,990",1.87%,27.44%,2497,,
1928,"61,659","3,822","13,695","9,045,000","31,143","282,536","53,113",1.99%,26.86%,2661,,
1929,"62,595","4,194","14,152","8,934,000","32,589","302,073","57,207",1.99%,26.06%,2705,,
1930,"63,461","4,500","14,575","10,031,000","34,233","276,207","63,553",2.11%,25.41%,2471,,
1931,"64,450","4,687","15,014","8,282,000","33,098","215,899","71,965",2.21%,24.37%,2454,,
1932,"65,457","4,911","15,372","9,059,000","31,977","199,698","77,729",2.44%,24.29%,2620,,
1933,"66,434","5,042","15,845","10,624,000","38,129","214,539","83,128",2.51%,24.21%,2835,,
1934,"67,432","5,315","16,535","7,776,000","36,303","249,881","88,523",2.53%,24.52%,2802,,
1935,"68,309","5,757","17,138","8,619,000","38,500","271,635","94,592",2.43%,25.36%,2832,,
1936,"69,254","6,543","17,530","10,101,000","41,308","308,448","96,250",2.33%,26.29%,2994,,
1937,"70,114","6,977","17,934","9,948,000","38,001","359,202","92,255",2.20%,27.43%,3084,,
1938,"70,630","7,560","18,179","9,880,000","40,484","433,578","87,844",2.04%,29.01%,3259,,
1939,"71,013","8,313","18,298","10,345,000","45,166","495,728","88,835",1.78%,30.76%,3743,,
1940,"71,380","9,073","18,400","9,131,000","41,673","545,070","91,028",1.46%,32.08%,3815,,
1941,"71,933","9,429","18,496","8,263,000","40,616","542,723","97,203",1.18%,33.82%,3809,,
1942,"72,218","9,555","18,581","10,016,000","33,251","574,806","101,939",1.01%,37.88%,3732,,
1943,"72,880","9,741","19,726","9,433,000","25,451","583,371","102,819",0.95%,43.99%,3732,,
1944,"73,903","9,900","20,056","8,784,000","25,536","634,269","102,316",0.90%,48.41%,3512,,
1945,"74,433","10,385","19,620","5,872,000","6,061","366,849","95,773",0.92%,50.44%,1776,,
1946,"72,147","10,449","19,692","9,208,000","10,439","535,479","106,401",0.81%,54.22%,1903,,
1947,"75,750","10,524","19,752","8,798,000","7,576","610,916","144,367",0.66%,55.37%,2028,,
1948,"78,101","10,649","19,760","9,966,000","9,882","628,202","177,490",0.53%,56.10%,2268,,
1949,"80,002","10,725","19,765","9,383,000","20,286","551,255","207,898",0.50%,53.87%,2363,,
1950,"81,773","10,771","19,786","9,651,000","32,434","475,436","238,531",0.89%,43.07%,2519,,
1951,"83,200","10,839","19,850","9,042,000","36,362","495,226","260,465",0.77%,40.78%,2853,,
1952,"84,541","11,256","19,903","9,923,000","35,309","503,610","302,286",0.64%,37.70%,3086,,
1953,"85,808","12,334","20,008","8,239,000","42,062","491,107","362,160",0.59%,35.16%,3217,,
1954,"86,981","13,324","20,046","9,113,000","50,248","426,369","394,706",0.56%,34.25%,3357,,
1955,"88,239","14,509","20,093","12,385,000","52,085","360,379","411,997",0.54%,33.86%,3631,,
1956,"89,276","15,451","20,186","10,899,000","57,666","373,963","438,224",0.54%,33.42%,3841,,
1957,"90,172","16,845","20,276","11,464,000","57,045","387,631","436,867",0.58%,33.15%,4067,,
1958,"90,928","18,373","20,357","11,993,000","64,109","442,554","477,163",0.57%,32.87%,4324,,
1959,"91,767","21,243","20,402","12,501,000","60,751","414,995","503,034",0.52%,30.91%,4652,,
1960,"92,641","23,657","20,482","12,858,000","69,753","390,256","539,429",0.51%,30.75%,5185,,
1961,"93,419","25,951","20,519","12,419,000","87,230","343,673","578,241",0.57%,32.32%,5730,,
1962,"94,287","29,156","20,516","13,009,000","85,828","283,119","624,322",0.61%,32.44%,6261,,
1963,"95,181","34,283","20,665","12,812,000","96,159","226,092","662,471",0.69%,32.37%,6668,,
1964,"96,156","38,060","20,741","12,584,000","98,382","214,185","713,190",0.78%,31.89%,7371,,
1965,"97,182","41,005","20,754","12,409,000","106,816","204,001","752,536",0.86%,31.30%,7753,,
1966,"98,275","44,814","20,783","12,745,000","105,270","189,378","799,390",0.90%,30.63%,8526,,
1967,"99,036","49,544","20,775","14,453,000","96,604","164,033","843,491",1.00%,30.07%,9364,,
1968,"100,196","53,186","20,827","14,449,000","105,527","152,208","898,276",1.06%,29.61%,10536,,
1969,"101,331","59,481","20,834","14,003,000","120,210","122,784","943,822",1.09%,29.25%,11753,,
1970,"102,536","68,261","20,890","12,689,000","129,480","103,037","986,825",1.11%,28.99%,12904,,
1971,"103,720","76,475","20,883","10,887,000","155,275","88,203","1,058,102",1.11%,28.35%,13521,,
1972,"104,665","85,296","20,924","11,889,000","165,062","72,051","1,128,761",1.11%,27.53%,14548,,
1973,"106,100","95,502","21,099","12,144,000","171,958","55,648","1,209,323",1.12%,26.70%,15453,,
1974,"107,595","104,206","21,161","12,292,000","193,585","56,154","1,291,754",1.13%,26.12%,15101,,
1975,"109,104","112,285","21,272","13,165,000","239,129","51,833","1,346,476",1.13%,25.43%,15703,,
1976,"110,573","116,871","21,276","11,772,000","207,838","47,766","1,408,946",1.14%,24.92%,16508,,
1977,"111,940","122,349","21,307","13,095,000","259,736","45,784","1,487,855",1.12%,24.32%,17403,,
1978,"113,094","131,218","21,307","12,589,000","226,579","42,003","1,538,823",1.10%,23.84%,18504,,
1979,"114,165","137,939","21,322","11,958,000","178,210","38,049","1,604,589",1.08%,23.34%,19490,,
1980,"115,190","143,698","21,322","9,751,000","193,135","37,189","1,645,589",1.07%,22.87%,20408,,
1981,"116,155","150,041","21,419","10,259,000","200,909","36,234","1,701,461",1.05%,22.50%,19954,,
1982,"117,060","154,645","21,387","10,270,000","225,529","33,566","1,745,616",1.02%,22.25%,19602,,
1983,"117,902","159,232","21,319","10,366,000","255,183","32,006","1,798,708",0.99%,21.93%,19052,,
1984,"118,728","163,290","21,019","11,878,000","270,427","30,975","1,872,852",0.97%,21.61%,18897,,
1985,"119,536","169,399","20,788","11,662,000","246,624","29,642","1,902,956",0.96%,21.34%,19017,,
1986,"120,305","173,808","19,639","11,647,000","255,178","24,532","1,950,664",0.94%,21.17%,20373,,
1987,"121,049","179,107","21,271","10,627,000","263,889","18,736","2,000,227",0.92%,20.89%,21518,,
1988,"121,660","181,708","21,015","9,935,000","252,328","14,466","2,071,311",0.88%,20.48%,23400,,
1989,"122,239","186,231","20,241","10,347,000","262,249","11,370","2,175,725",0.85%,20.05%,24869,,
1990,"122,745","194,730","20,252","10,499,000","253,693","9,837","2,281,721",0.83%,19.60%,26341,,
1991,"123,205","199,985","20,203","9,604,000","196,783","9,153","2,418,567",0.80%,19.15%,28111,,
1992,"123,611","205,133","20,217","10,573,000","351,344","8,117","2,502,858",0.79%,18.86%,29064,,
1993,"124,101","212,914","20,213","7,834,000","339,193","7,410","2,561,830",0.79%,18.55%,29967,,
1994,"124,567","220,898","20,219","11,981,000","318,424","6,432","2,608,444",0.78%,18.24%,30728,,
1995,"124,938","226,994","20,013","10,748,000","352,864","5,485","2,650,201",0.78%,17.91%,32146,,
1996,"125,265","233,737","20,002","10,344,000","524,327","5,211","2,694,812",0.77%,17.56%,32540,,
1997,"125,570","242,447","20,059","10,025,000","488,484","3,723","2,667,689",0.77%,17.22%,32662,,
1998,"125,859","250,290","20,059","8,960,000","345,291","3,681","2,699,881",0.77%,16.96%,32132,,
1999,"126,157","253,544","20,057","9,175,000","337,056","3,600","2,730,482",0.77%,16.69%,31980,,
2000,"126,472","258,838","20,051","9,490,000","272,899","3,236","2,766,457",0.77%,16.39%,33294,,
2001,"126,667","261,730","20,050","9,057,000","257,665","2,110","2,791,841",0.77%,16.08%,33086,,
2002,"126,926","266,129","20,039","8,889,000","264,428","1,209","2,806,347",0.78%,15.78%,33215,,
2003,"127,316","268,287","20,014","7,792,000","270,115","1,246","2,790,489",0.79%,15.46%,33576,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
